I (464885) mpu6050 stream: AX:-0.063 AY:0.066 AZ:-0.949 | GX:-0.473 GY:1.252 GZ:0.962 | T:25.14 C
I (464895) mpu6050 stream: AX:-0.062 AY:0.077 AZ:-0.954 | GX:-0.687 GY:1.206 GZ:1.191 | T:25.24 C
I (464905) mpu6050 stream: AX:-0.065 AY:0.074 AZ:-0.957 | GX:-0.779 GY:0.611 GZ:1.038 | T:25.14 C
I (464915) mpu6050 stream: AX:-0.065 AY:0.081 AZ:-0.962 | GX:-0.519 GY:0.824 GZ:1.008 | T:25.14 C
I (464925) mpu6050 stream: AX:-0.064 AY:0.070 AZ:-0.960 | GX:-0.412 GY:0.672 GZ:0.931 | T:25.14 C
I (464935) mpu6050 stream: AX:-0.064 AY:0.071 AZ:-0.954 | GX:-0.427 GY:0.473 GZ:0.947 | T:25.14 C
I (464945) mpu6050 stream: AX:-0.064 AY:0.076 AZ:-0.957 | GX:-0.550 GY:0.550 GZ:0.824 | T:25.14 C
I (464955) mpu6050 stream: AX:-0.071 AY:0.069 AZ:-0.957 | GX:-0.626 GY:0.641 GZ:1.053 | T:25.14 C
I (464965) mpu6050 stream: AX:-0.058 AY:0.077 AZ:-0.950 | GX:-0.626 GY:0.779 GZ:0.916 | T:25.05 C
I (464975) mpu6050 stream: AX:-0.070 AY:0.069 AZ:-0.960 | GX:-0.336 GY:0.641 GZ:0.809 | T:25.24 C
I (464985) mpu6050 stream: AX:-0.062 AY:0.069 AZ:-0.947 | GX:-0.412 GY:0.687 GZ:0.962 | T:25.14 C
I (464995) mpu6050 stream: AX:-0.060 AY:0.069 AZ:-0.944 | GX:-0.321 GY:0.702 GZ:0.702 | T:25.05 C
I (465005) mpu6050 stream: AX:-0.062 AY:0.066 AZ:-0.950 | GX:-0.305 GY:0.122 GZ:0.672 | T:25.14 C
