I (190245) mpu6050 stream: AX:-0.091 AY:0.077 AZ:-0.964 | GX:0.473 GY:0.382 GZ:0.076 | T:25.14 C
I (190255) mpu6050 stream: AX:-0.089 AY:0.078 AZ:-0.954 | GX:0.305 GY:0.107 GZ:-0.061 | T:25.24 C
I (190265) mpu6050 stream: AX:-0.087 AY:0.070 AZ:-0.947 | GX:-0.168 GY:0.061 GZ:0.046 | T:25.24 C
I (190275) mpu6050 stream: AX:-0.084 AY:0.073 AZ:-0.966 | GX:-0.702 GY:-0.015 GZ:-0.214 | T:25.19 C
I (190285) mpu6050 stream: AX:-0.087 AY:0.078 AZ:-0.953 | GX:-1.405 GY:-0.290 GZ:-0.397 | T:25.19 C
I (190295) mpu6050 stream: AX:-0.088 AY:0.085 AZ:-0.950 | GX:-1.313 GY:-0.397 GZ:-0.290 | T:25.19 C
I (190305) mpu6050 stream: AX:-0.089 AY:0.095 AZ:-0.965 | GX:-0.611 GY:-0.763 GZ:0.046 | T:25.19 C
I (190315) mpu6050 stream: AX:-0.107 AY:0.090 AZ:-0.961 | GX:0.305 GY:0.061 GZ:0.489 | T:25.28 C
I (190325) mpu6050 stream: AX:-0.099 AY:0.085 AZ:-0.965 | GX:0.809 GY:0.962 GZ:0.931 | T:25.19 C
I (190335) mpu6050 stream: AX:-0.097 AY:0.085 AZ:-0.955 | GX:1.053 GY:1.466 GZ:1.099 | T:25.28 C
I (190345) mpu6050 stream: AX:-0.088 AY:0.082 AZ:-0.957 | GX:0.595 GY:1.573 GZ:1.221 | T:25.09 C
I (190355) mpu6050 stream: AX:-0.088 AY:0.074 AZ:-0.944 | GX:-0.046 GY:0.885 GZ:1.298 | T:25.09 C
