I (354665) mpu6050 stream: AX:-0.128 AY:0.090 AZ:-0.948 | GX:-0.366 GY:0.672 GZ:0.214 | T:25.28 C
I (354675) mpu6050 stream: AX:-0.126 AY:0.089 AZ:-0.952 | GX:-0.076 GY:0.748 GZ:0.473 | T:25.19 C
I (354685) mpu6050 stream: AX:-0.126 AY:0.088 AZ:-0.950 | GX:-0.015 GY:1.023 GZ:0.580 | T:25.19 C
I (354695) mpu6050 stream: AX:-0.117 AY:0.090 AZ:-0.948 | GX:0.107 GY:0.931 GZ:0.641 | T:25.28 C
I (354705) mpu6050 stream: AX:-0.122 AY:0.090 AZ:-0.948 | GX:0.366 GY:0.672 GZ:0.718 | T:25.28 C
I (354715) mpu6050 stream: AX:-0.120 AY:0.084 AZ:-0.948 | GX:0.275 GY:0.565 GZ:0.840 | T:25.19 C
I (354725) mpu6050 stream: AX:-0.120 AY:0.088 AZ:-0.945 | GX:0.153 GY:0.580 GZ:0.947 | T:25.28 C
I (354735) mpu6050 stream: AX:-0.124 AY:0.096 AZ:-0.960 | GX:0.214 GY:0.443 GZ:0.962 | T:25.19 C
I (354745) mpu6050 stream: AX:-0.120 AY:0.087 AZ:-0.950 | GX:0.214 GY:0.748 GZ:1.160 | T:25.19 C
I (354755) mpu6050 stream: AX:-0.127 AY:0.093 AZ:-0.956 | GX:0.336 GY:0.672 GZ:1.053 | T:25.19 C
I (354765) mpu6050 stream: AX:-0.116 AY:0.092 AZ:-0.954 | GX:0.382 GY:0.794 GZ:1.298 | T:25.19 C
I (354775) mpu6050 stream: AX:-0.121 AY:0.085 AZ:-0.956 | GX:0.550 GY:1.206 GZ:1.313 | T:25.09 C
I (354785) mpu6050 stream: AX:-0.121 AY:0.085 AZ:-0.949 | GX:0.366 GY:0.809 GZ:1.130 | T:25.19 C
I (354795) mpu6050 stream: AX:-0.126 AY:0.079 AZ:-0.955 | GX:0.153 GY:1.420 GZ:1.084 | T:25.09 C
