I (312555) mpu6050 stream: AX:-0.152 AY:0.097 AZ:-0.958 | GX:-1.130 GY:-0.626 GZ:0.351 | T:25.24 C
I (312565) mpu6050 stream: AX:-0.150 AY:0.107 AZ:-0.948 | GX:-1.252 GY:-0.244 GZ:0.137 | T:25.24 C
I (312575) mpu6050 stream: AX:-0.140 AY:0.112 AZ:-0.947 | GX:-0.962 GY:-0.305 GZ:-0.061 | T:25.33 C
I (312585) mpu6050 stream: AX:-0.152 AY:0.111 AZ:-0.949 | GX:-0.397 GY:-0.031 GZ:-0.015 | T:25.24 C
I (312595) mpu6050 stream: AX:-0.144 AY:0.112 AZ:-0.939 | GX:0.229 GY:-0.046 GZ:-0.122 | T:25.24 C
I (312605) mpu6050 stream: AX:-0.151 AY:0.113 AZ:-0.944 | GX:0.107 GY:-0.122 GZ:0.015 | T:25.14 C
I (312615) mpu6050 stream: AX:-0.150 AY:0.108 AZ:-0.948 | GX:-0.214 GY:0.260 GZ:0.107 | T:25.24 C
I (312625) mpu6050 stream: AX:-0.148 AY:0.104 AZ:-0.945 | GX:-0.824 GY:0.473 GZ:0.214 | T:25.42 C
I (312635) mpu6050 stream: AX:-0.146 AY:0.111 AZ:-0.943 | GX:-1.191 GY:0.702 GZ:0.229 | T:25.24 C
I (312645) mpu6050 stream: AX:-0.143 AY:0.118 AZ:-0.937 | GX:-0.626 GY:0.473 GZ:0.489 | T:25.33 C
I (312655) mpu6050 stream: AX:-0.144 AY:0.117 AZ:-0.941 | GX:-0.046 GY:-0.168 GZ:0.656 | T:25.24 C
I (312665) mpu6050 stream: AX:-0.149 AY:0.118 AZ:-0.950 | GX:0.550 GY:0.076 GZ:0.901 | T:25.24 C
I (312675) mpu6050 stream: AX:-0.152 AY:0.120 AZ:-0.952 | GX:0.672 GY:0.260 GZ:1.053 | T:25.33 C
I (312685) mpu6050 stream: AX:-0.152 AY:0.109 AZ:-0.944 | GX:0.229 GY:0.565 GZ:1.130 | T:25.24 C
