I (396735) mpu6050 stream: AX:-0.115 AY:0.102 AZ:-0.951 | GX:0.901 GY:0.412 GZ:1.481 | T:25.33 C
I (396745) mpu6050 stream: AX:-0.119 AY:0.102 AZ:-0.938 | GX:0.718 GY:0.473 GZ:1.511 | T:25.14 C
I (396755) mpu6050 stream: AX:-0.119 AY:0.107 AZ:-0.942 | GX:0.748 GY:0.458 GZ:1.573 | T:25.14 C
I (396765) mpu6050 stream: AX:-0.123 AY:0.103 AZ:-0.945 | GX:0.809 GY:-0.046 GZ:1.817 | T:25.24 C
I (396775) mpu6050 stream: AX:-0.121 AY:0.095 AZ:-0.949 | GX:1.008 GY:-0.122 GZ:2.153 | T:25.05 C
I (396785) mpu6050 stream: AX:-0.112 AY:0.102 AZ:-0.948 | GX:0.840 GY:-0.565 GZ:1.939 | T:25.33 C
I (396795) mpu6050 stream: AX:-0.119 AY:0.096 AZ:-0.945 | GX:0.718 GY:-0.565 GZ:1.893 | T:25.14 C
I (396805) mpu6050 stream: AX:-0.124 AY:0.095 AZ:-0.953 | GX:0.336 GY:-0.901 GZ:1.725 | T:25.24 C
I (396815) mpu6050 stream: AX:-0.126 AY:0.096 AZ:-0.953 | GX:0.107 GY:-0.763 GZ:1.786 | T:25.24 C
I (396825) mpu6050 stream: AX:-0.123 AY:0.097 AZ:-0.951 | GX:0.168 GY:-0.107 GZ:1.802 | T:25.14 C
I (396835) mpu6050 stream: AX:-0.132 AY:0.095 AZ:-0.960 | GX:0.763 GY:0.244 GZ:1.710 | T:25.14 C
I (396845) mpu6050 stream: AX:-0.131 AY:0.092 AZ:-0.956 | GX:1.038 GY:0.565 GZ:1.725 | T:25.24 C
I (396855) mpu6050 stream: AX:-0.126 AY:0.088 AZ:-0.954 | GX:1.053 GY:0.947 GZ:1.298 | T:25.14 C
I (396865) mpu6050 stream: AX:-0.120 AY:0.085 AZ:-0.943 | GX:0.870 GY:1.206 GZ:1.145 | T:25.14 C
