I (366715) mpu6050 stream: AX:-0.090 AY:0.083 AZ:-0.962 | GX:0.214 GY:0.382 GZ:1.130 | T:25.19 C
I (366725) mpu6050 stream: AX:-0.086 AY:0.082 AZ:-0.947 | GX:0.244 GY:0.214 GZ:1.038 | T:25.19 C
I (366735) mpu6050 stream: AX:-0.091 AY:0.075 AZ:-0.967 | GX:0.198 GY:0.321 GZ:1.313 | T:25.09 C
I (366745) mpu6050 stream: AX:-0.084 AY:0.074 AZ:-0.959 | GX:-0.046 GY:0.641 GZ:1.160 | T:25.19 C
I (366755) mpu6050 stream: AX:-0.078 AY:0.075 AZ:-0.952 | GX:-0.153 GY:0.870 GZ:1.130 | T:25.19 C
I (366765) mpu6050 stream: AX:-0.082 AY:0.074 AZ:-0.962 | GX:-0.412 GY:0.733 GZ:0.931 | T:25.09 C
I (366775) mpu6050 stream: AX:-0.078 AY:0.079 AZ:-0.957 | GX:-0.733 GY:1.069 GZ:0.748 | T:25.19 C
I (366785) mpu6050 stream: AX:-0.074 AY:0.082 AZ:-0.953 | GX:-0.656 GY:1.084 GZ:0.702 | T:25.19 C
I (366795) mpu6050 stream: AX:-0.077 AY:0.090 AZ:-0.953 | GX:-0.046 GY:0.885 GZ:0.443 | T:25.19 C
I (366805) mpu6050 stream: AX:-0.081 AY:0.088 AZ:-0.955 | GX:0.947 GY:-0.015 GZ:0.611 | T:25.28 C
I (366815) mpu6050 stream: AX:-0.076 AY:0.081 AZ:-0.947 | GX:1.817 GY:-0.305 GZ:0.855 | T:25.19 C
