I (306575) mpu6050 stream: AX:-0.163 AY:0.095 AZ:-0.939 | GX:-0.397 GY:-0.137 GZ:1.145 | T:25.24 C
I (306585) mpu6050 stream: AX:-0.167 AY:0.093 AZ:-0.945 | GX:-0.153 GY:0.076 GZ:1.053 | T:25.33 C
I (306595) mpu6050 stream: AX:-0.164 AY:0.090 AZ:-0.938 | GX:-0.244 GY:0.275 GZ:0.779 | T:25.24 C
I (306605) mpu6050 stream: AX:-0.167 AY:0.088 AZ:-0.949 | GX:-0.305 GY:-0.046 GZ:0.718 | T:25.33 C
I (306615) mpu6050 stream: AX:-0.169 AY:0.089 AZ:-0.947 | GX:-0.611 GY:0.168 GZ:0.489 | T:25.24 C
I (306625) mpu6050 stream: AX:-0.171 AY:0.093 AZ:-0.941 | GX:-0.870 GY:0.260 GZ:0.504 | T:25.33 C
I (306635) mpu6050 stream: AX:-0.166 AY:0.092 AZ:-0.938 | GX:-0.718 GY:0.214 GZ:0.412 | T:25.24 C
I (306645) mpu6050 stream: AX:-0.168 AY:0.092 AZ:-0.943 | GX:-0.733 GY:-0.076 GZ:0.397 | T:25.33 C
I (306655) mpu6050 stream: AX:-0.167 AY:0.094 AZ:-0.949 | GX:-0.718 GY:-0.473 GZ:0.321 | T:25.33 C
I (306665) mpu6050 stream: AX:-0.167 AY:0.097 AZ:-0.955 | GX:-0.718 GY:-0.351 GZ:0.351 | T:25.24 C
